barcode,category,description,name,pages,price,publishing_affiliate,seller,size,subcategory,url
893527070456,Kiến Trúc/Hội Họa/Điện Ảnh,"Các công trình kiến trúc gắn bó với đời sống con người ở nhiều góc độ, như nhà ở hay các cửa hàng thì gần gũi quen thuộc, giáo đường hay đền đài tưởng niệm lại cầu kỳ và tôn kính. Mỗi ngày chúng ta đi qua và nhìn ngắm, rồi sử dụng nhiều loại công trình khác nhau, những không phải ai cũng hiểu được ngôn ngữ kiến trúc và câu chuyện lịch sử mà chúng đang lột tả.",A Crash Course Series: Đọc Hiểu Công Trình Kiến Trúc,260,"235,000",Omega Plus,Phương Nam Online,19 x 16 x 1.4,Kiến Trúc/Xây Dựng,https://nhasachphuongnam.com/a-crash-course-series-doc-hieu-cong-trinh-kien-truc.html
893525142167,Kỹ Năng/Sống Đẹp,Nếu bạn nghĩ thăng tiến chính là phần thưởng cho những thành tích mà mình đã đạt được thì bạn nhầm to rồi!,Mưu Hèn Kế Bẩn Nơi Công Sở - Nghệ Thuật Thăng Tiến Trong Sự Nghiệp - Tập 2 (Tái bản năm 2024),262,"139,000",Alphabooks,Phương Nam Online,20.5 x 13 x 1.3,Kỹ Năng Công Việc,https://nhasachphuongnam.com/muu-hen-ke-ban-noi-cong-so-nghe-thuat-thang-tien-trong-su-nghiep-tap-2-tai-ban-nam-2024.html
893525142158,Kinh Tế/Kinh Doanh,,MBA Cơ Bản - Khóa Học Quản Trị Kinh Doanh Cấp Tốc Cho Người Bận Rộn,507,"269,000",Alphabooks,Phương Nam Online,24 x 16 x 2.5,Quản Trị Kinh Doanh,https://nhasachphuongnam.com/mba-co-ban-khoa-hoc-quan-tri-kinh-doanh-cap-toc-cho-nguoi-ban-ron.html
893525142080,Kỹ Năng/Sống Đẹp,"Cuốn sách khám phá các chiến lược thay thế và độc đáo để đạt được thành công tài chính trong bối cảnh kinh tế đầy khó khăn; thách thức các chuẩn mực kinh doanh truyền thống và đưa ra một quan điểm mới về tinh thần kinh doanh và tạo ra của cải. Bạn cần phải chấp  nhận rủi ro, phá vỡ lối mòn và suy nghĩ độc lập.",Kiếm Tiền Từ Bất Cứ Thứ Gì,296,"159,000",Alphabooks,Phương Nam Online,20.5 x 13 x 1.5,Kỹ Năng Sống,https://nhasachphuongnam.com/kiem-tien-tu-bat-cu-thu-gi.html
893525142165,Kinh Tế/Kinh Doanh,"Có vô số chủ cửa hàng gặp phải một vấn đề: kinh doanh thời trang dần trở nên khó khăn hơn! Do đó, mọi người cũng thường thắc mắc, “Tại sao người khác làm rất nhẹ nhàng? Tại sao người khác kiếm được tiền dễ dàng, còn tôi thì không?”Thay vì phàn nàn hãy tìm lý do từ chính bạn!",Bí Quyết Kinh Doanh Cửa Hàng Thời Trang Và Những Mánh Lới Bạn Chưa Từng Biết (Tái bản năm 2024),407,"179,000",Alphabooks,Phương Nam Online,20.5 x 13 x 2,Nhân Vật/Bài Học Kinh Doanh,https://nhasachphuongnam.com/bi-quyet-kinh-doanh-cua-hang-thoi-trang-va-nhung-manh-loi-ban-chua-tung-biet-tai-ban-nam-2024.html
978604345855,Kinh Tế/Kinh Doanh,,"Bán Hàng Livestream: Sân Khấu Ảo, Doanh Số Thật",164,"199,000",Alphabooks,Phương Nam Online,24 x 16 x 1,Marketing/Bán Hàng,https://nhasachphuongnam.com/ban-hang-livestream-san-khau-ao-doanh-so-that.html
893525142169,Thể Loại Khác,Cuốn sách ,Góc Nhìn Sử Việt - Việt Hoa Bang Giao Sử (Tái bản năm 2024),188,"99,000",Alphabooks,Phương Nam Online,20.5 x 13 x 1,Sách Chuyên Ngành,https://nhasachphuongnam.com/goc-nhin-su-viet-viet-hoa-bang-giao-su-tai-ban-nam-2024.html
893527070477,Thể Loại Khác,"Với phương pháp đa ngành cùng khối lượng kiến thức khổng lồ, Jared Diamond đã hoàn thành kiệt tác mang tính cách mạng trong nghiên cứu về lịch sử nhân loại: ",Sụp Đổ - Các Xã Hội Đã Thất Bại Hay Thành Công Như Thế Nào?,854,"399,000",Omega Plus,Phương Nam Online,24 x 16 x 4.5,Sách Chuyên Ngành,https://nhasachphuongnam.com/sup-do-cac-xa-hoi-da-that-bai-hay-thanh-cong-nhu-the-nao.html
893530950467,Thể Loại Khác,Đối tượng phù hợp nhất với cuốn sách là các bạn sinh viên sắp ra trường (cả sinh viên đại học và sinh viên cao đẳng) cũng như những người có mong muốn làm việc tại các tập đoàn có yếu tố nước ngoài.,Hackers TOEIC Start Listening (Tái bản năm 2024),576,"279,000",Alphabooks,Phương Nam Online,24 x 16 x 3,Sách Học Ngoại Ngữ/Từ Điển,https://nhasachphuongnam.com/hackers-toeic-start-listening-tai-ban-nam-2024.html
893530950465,Thể Loại Khác," là phần tiếp theo của cuốn sách bán chạy Nuance - 50 sắc thái của từ. Với cuốn sách này, bạn sẽ được tìm hiểu về sắc thái của các cách diễn đạt khác nhau trong tiếng Anh, từ đó biết cách giao tiếp linh hoạt, tự nhiên và phù hợp với từng tình huống cụ thể trong cuộc sống.",Nuance 2 - 50 Sắc Thái Của Câu,264,"159,000",Alphabooks,Phương Nam Online,20.5 x 14.5 x 1.4,Sách Học Ngoại Ngữ/Từ Điển,https://nhasachphuongnam.com/nuance-2-50-sac-thai-cua-cau.html
893530950466,Thể Loại Khác," là cuốn sách cung cấp các cụm từ cố định (collocations) được sử dụng thường xuyên nhất trên báo chí, tin tức, từ đó giúp bạn dần thu hẹp được khoảng cách về ngôn ngữ và văn hóa, nắm được chìa khóa để hiểu những cấu trúc và cách diễn đạt phức tạp, và biết cách sử dụng từ theo cụm một cách linh hoạt và chính xác hơn.","English Collocations In News - Đọc Tin Không ""Vấp""",323,"169,000",Alphabooks,Phương Nam Online,20.5 x 14.5 x 1.6,Sách Học Ngoại Ngữ/Từ Điển,https://nhasachphuongnam.com/english-collocations-in-news-doc-tin-khong-vap.html
893523524204,Thiếu Nhi,"""Trồng cây táo là trao hy vọng cho tương lai. Dù cháu chẳng thể nhìn thấy táo chín, nhưng nghĩ rằng trồng cây táo mới là nhiệm vụ của mình, thì cháu sẽ không làm hời hợt đâu nhỉ. Hãy nghĩ rằng nếu đánh mất hy vọng, thì con người sẽ sống trong đau khổ.""",Cây Táo Của Ông,128,"82,000",Nhã Nam,Phương Nam Online,20.5 x 14 x 0.8,Văn Học Thiếu Nhi,https://nhasachphuongnam.com/cay-tao-cua-ong.html
893523524200,Thể Loại Khác,"Mỗi chúng ta đều từng đối mặt với những ràng buộc và giằng co trong gia đình ruột thịt, dao động và trao nhầm trong tình yêu, thất bại và làm lại trong công việ Trước những yếu đuối, vướng mắc, không hoàn hảo trong đời, ta cần học cách cho phép bản thân thi thoảng mất kiểm soát, suy sụp, yếu đuối; cho phép bản thân có chút thời gian để điều chỉnh, bỏ trống, thả lỏng; cho phép mọi thứ như chúng vốn là vậy.",Cho Phép Mọi Chuyện Xảy Ra,212,"115,000",Nhã Nam,Phương Nam Online,20.5 x 14 x 1,Tâm Lý/Giáo Dục,https://nhasachphuongnam.com/cho-phep-moi-chuyen-xay-ra.html
893497420354,Truyện Tranh/Manga,"Vua Lý Thái Tổ băng hà, nhà Lý gặp họa anh em tranh đoạt vương quyền, mầm mống của sự suy vong đã bắt đầu xuất hiện. Nhưng vốn là người cơ trí, uy dũng, tài năng, lại có tôi hiền là tướng Lê Phụng Hiểu phù trợ, Thái tử Lý Phật Mã dẹp yên được nguy cơ đại loạn, nhanh chóng ổn định tình hình chính sự, lên ngôi vua, tức vua Lý Thái Tông.",Lịch Sử Việt Nam Bằng Tranh - Lý Thái Tông Xây Đắp Nhà Lý (Bìa cứng),96,"165,000",,Phương Nam Online,24 x 19 x 1.2,Truyện Tranh,https://nhasachphuongnam.com/lich-su-viet-nam-bang-tranh-ly-thai-tong-xay-dap-nha-ly-bia-cung.html
893497420350,Thể Loại Khác,"Ngày nay, dữ liệu là “huyết mạch” của xã hội và cũng là “kho báu” của rất nhiều người. Đây là nguồn tài nguyên giá trị cho những ai biết cách khai thác và sử dụng hiệu quả. Với các tổ chức thuộc mọi ngành nghề, những câu chuyện sâu sắc từ dữ liệu không chỉ giúp họ ra các quyết định thông minh và truyền đạt ý tưởng hiệu quả hơn, mà còn có thể giúp họ…sống sót trong thời đại số. Với từng cá nhân, khả năng kể chuyện bằng dữ liệu sẽ giúp họ phát hiện thông tin có nhiều ý nghĩa đằng sau các con số, từ đó có thể sử dụng chúng một cách sáng tạo và hiệu quả để kể chuyện, gây ảnh hưởng đến quyết định và hành động của người nghe.",Kể Chuyện Bằng Dữ Liệu - Hành Trình Kiến Tạo Thay Đổi Trong Thời Đại Số,248,"185,000",,Phương Nam Online,23 x 15.5 x 1.2,Sách Chuyên Ngành,https://nhasachphuongnam.com/ke-chuyen-bang-du-lieu-hanh-trinh-kien-tao-thay-doi-trong-thoi-dai-so.html
